name,imoCompanyNumber,jurisdictionOfIncorporation,jurisdictionSourceType,describedAsBasedIn,listedAddressCountry,registeredAddress,taxId,registrationNumber,lei,sourceUrl
Joint Stock Company Sovcomflot,,Russia,official-registration-id,,Russia,"Ul. Gasheka D. 6, Moscow 125047, Russia",7702060116,1027739028712,253400DYLWR5A6YAWJ69,https://ofac.treasury.gov/recent-actions/20240223_33
Hennesea Holdings Limited,,,,United Arab Emirates,United Arab Emirates,"1229, Al Sila Tower, ADGM Square, Al Maryah Island, Abu Dhabi, United Arab Emirates",,,,https://ofac.treasury.gov/recent-actions/20240118
Streymoy Shipping Limited,,,,United Arab Emirates,United Arab Emirates,,,,,https://home.treasury.gov/news/press-releases/jy1940
Gotik Shipping Co,6505487,,,,India,"Sankul CHS, Agra Road, Kalyan, Thane, Maharashtra 421301, India; Liberia",,,,https://ofac.treasury.gov/recent-actions/20240905
Plio Energy Cargo Shipping OPC Private Limited,0028953,,,India,India,"Sankul CHS, Agra Road, Kalyan, Thane, Maharashtra 421301, India",,,,https://ofac.treasury.gov/recent-actions/20240905
Limited Liability Company Arctic LNG 2,,Russia,official-registration-id,,Russia,"d. 9 kab. 117, mikroraion Slavyanski, Novy Urengoi 629309, Russia",8904075357,1148904001278,,https://ofac.treasury.gov/recent-actions/20231102
Lumber Marine SA,5463420,,,United Arab Emirates,United Arab Emirates,"Office OT 17-32, 17th Floor, Central Park Towers, Dubai, United Arab Emirates; 80 Broad Street, Monrovia, Liberia",,,,https://ofac.treasury.gov/recent-actions/20231012
Ice Pearl Navigation Corp,4118745,,,Turkey,Turkey,"Ucpinarlar Caddesi 36, Kucuk Camlica, Uskudar 34696, Turkey; Marshall Islands",,,,https://ofac.treasury.gov/recent-actions/20231012
West Maritime Services and Trading Inc,,,,,,,,,,https://assets.publishing.service.gov.uk/media/698b59868492b54795c1be6d/Sanctions_Notice__Russia__10_February_2026.pdf
Winky International Limited,,Marshall Islands,official-registration-id,,Marshall Islands,"14th Floor, Guangdong Investment Tower, 148 Connaught Road Central, Hong Kong, China; Majuro, Ajeltake Island 96960, Marshall Islands",,128617,,https://ofac.treasury.gov/recent-actions/20251231
